F_Avg,F_Max,X_Bytes,Y_Bytes,X,Y
0.400,0.700,111011,000001,2.9,1.1
0.465,0.800,111010,000000,2.8,1.0
0.505,0.800,111010,000000,2.8,1.0
0.485,0.800,111010,000000,2.8,1.0
0.570,0.700,111011,000001,2.9,1.1
0.582,0.700,111011,000001,2.9,1.1
0.528,0.700,111011,000001,2.9,1.1
0.572,0.800,111010,000000,2.8,1.0
0.500,0.800,111010,000000,2.8,1.0
0.405,0.800,111010,000000,2.8,1.0
0.462,0.800,111010,000000,2.8,1.0
0.458,0.800,111010,000000,2.8,1.0
0.533,0.700,111011,000001,2.9,1.1
0.542,0.700,111011,000001,2.9,1.1
0.508,0.700,111001,000000,2.7,1.0
0.503,0.700,111011,000001,2.9,1.1
0.575,0.700,111011,000001,2.9,1.1
0.542,0.700,111011,000001,2.9,1.1
0.595,0.700,111011,000001,2.9,1.1
0.590,0.700,111011,000001,2.9,1.1
0.587,0.700,111011,000001,2.9,1.1
0.635,0.700,111011,000001,2.9,1.1
0.613,0.700,111011,000001,2.9,1.1
0.602,0.700,111011,000001,2.9,1.1
0.527,0.700,111011,000001,2.9,1.1
0.575,0.700,111011,000001,2.9,1.1
0.572,0.800,111010,000000,2.8,1.0
0.617,0.800,111010,000000,2.8,1.0
0.618,0.800,111010,000000,2.8,1.0
0.627,0.800,111010,000000,2.8,1.0
0.607,0.800,111010,000000,2.8,1.0
0.622,0.800,111010,000000,2.8,1.0
0.588,0.800,111010,000000,2.8,1.0
0.582,0.700,111011,000001,2.9,1.1
0.520,0.700,111011,000001,2.9,1.1
0.570,0.700,111011,000001,2.9,1.1
0.627,0.700,111011,000001,2.9,1.1
0.648,0.700,111011,000001,2.9,1.1
0.598,0.700,111011,000001,2.9,1.1
0.590,0.700,111011,000001,2.9,1.1
0.473,0.700,111011,000001,2.9,1.1
0.477,0.700,111011,000001,2.9,1.1
0.552,0.700,111011,000001,2.9,1.1
0.490,0.700,111011,000001,2.9,1.1
0.543,0.700,111011,000001,2.9,1.1
0.565,0.700,111011,000001,2.9,1.1
0.577,0.700,111011,000001,2.9,1.1
0.382,0.700,111011,000001,2.9,1.1
0.528,0.700,111011,000001,2.9,1.1
0.432,0.700,111011,000001,2.9,1.1
0.427,0.700,111011,000001,2.9,1.1
0.520,0.700,111011,000001,2.9,1.1
0.448,0.700,111011,000001,2.9,1.1
0.545,0.700,111011,000001,2.9,1.1
0.435,0.700,111011,000001,2.9,1.1
0.480,0.900,111011,000000,2.9,1.0
0.492,0.900,111011,000000,2.9,1.0
0.422,0.900,111011,000000,2.9,1.0
0.482,0.900,111011,000000,2.9,1.0
0.283,0.900,111011,000000,2.9,1.0
0.417,0.700,111011,000001,2.9,1.1
0.493,0.700,111011,000001,2.9,1.1
0.605,0.700,111011,000001,2.9,1.1
0.603,0.700,111011,000001,2.9,1.1
0.593,0.700,111011,000001,2.9,1.1
0.405,0.700,111011,000001,2.9,1.1
0.470,0.700,111011,000001,2.9,1.1
0.500,0.700,111011,000001,2.9,1.1
0.565,0.700,111011,000001,2.9,1.1
0.562,0.700,111011,000001,2.9,1.1
0.633,0.700,111011,000001,2.9,1.1
0.507,0.900,111011,000000,2.9,1.0
0.443,0.700,111011,000001,2.9,1.1
0.440,0.700,111011,000001,2.9,1.1
0.593,0.700,111011,000001,2.9,1.1
0.452,0.700,111011,000001,2.9,1.1
0.343,0.700,111011,000001,2.9,1.1
0.205,0.700,111011,000001,2.9,1.1
0.137,0.700,111011,000001,2.9,1.1
0.282,0.700,111011,000001,2.9,1.1
0.423,0.700,111011,000001,2.9,1.1
0.510,0.700,111011,000001,2.9,1.1
0.565,0.700,111011,000001,2.9,1.1
0.628,0.700,111011,000001,2.9,1.1
0.615,0.800,111010,000000,2.8,1.0
0.532,0.700,111011,000001,2.9,1.1
0.493,0.700,111011,000001,2.9,1.1
0.472,0.700,111011,000001,2.9,1.1
0.542,0.700,111011,000001,2.9,1.1
0.470,0.700,111011,000001,2.9,1.1
0.417,0.700,111011,000001,2.9,1.1
0.468,0.700,111011,000001,2.9,1.1
0.418,0.700,111011,000001,2.9,1.1
0.295,0.700,111011,000001,2.9,1.1
0.282,0.700,111011,000001,2.9,1.1
0.312,0.700,111011,000001,2.9,1.1
0.330,0.700,111011,000001,2.9,1.1
0.340,0.700,111011,000001,2.9,1.1
0.337,0.700,111011,000001,2.9,1.1
0.472,0.900,111011,000000,2.9,1.0
0.395,0.900,111011,000000,2.9,1.0
0.475,0.900,111011,000000,2.9,1.0
0.598,0.700,111011,000001,2.9,1.1
0.543,0.700,111011,000001,2.9,1.1
0.600,0.700,111011,000001,2.9,1.1
0.565,0.700,111011,000001,2.9,1.1
0.538,0.700,111011,000001,2.9,1.1
0.527,0.700,111011,000001,2.9,1.1
0.362,0.700,111011,000001,2.9,1.1
0.403,0.800,111010,000000,2.8,1.0
0.388,0.800,111010,000000,2.8,1.0
0.575,0.800,111010,000000,2.8,1.0
0.578,0.800,111010,000000,2.8,1.0
0.603,0.800,111010,000000,2.8,1.0
0.593,0.700,111011,000001,2.9,1.1
0.615,0.700,111011,000001,2.9,1.1
0.557,0.700,111011,000001,2.9,1.1
0.667,0.900,111011,000000,2.9,1.0
0.625,0.900,111011,000000,2.9,1.0
0.635,0.900,111011,000000,2.9,1.0
0.538,0.900,111011,000000,2.9,1.0
0.615,0.700,111011,000001,2.9,1.1
0.602,0.700,111011,000001,2.9,1.1
0.617,0.700,111011,000001,2.9,1.1
0.540,0.700,111011,000001,2.9,1.1
0.615,0.700,111011,000001,2.9,1.1
0.540,0.700,111011,000001,2.9,1.1
0.503,0.700,111011,000001,2.9,1.1
0.440,0.700,111011,000001,2.9,1.1
0.495,0.700,111011,000001,2.9,1.1
0.488,0.700,111011,000001,2.9,1.1
0.510,0.700,111011,000001,2.9,1.1
0.572,0.700,111011,000001,2.9,1.1
0.615,0.700,111011,000001,2.9,1.1
0.627,0.700,111011,000001,2.9,1.1
0.608,0.700,111011,000001,2.9,1.1
0.523,0.700,111011,000001,2.9,1.1
0.538,0.700,111011,000001,2.9,1.1
0.577,0.700,111011,000001,2.9,1.1
0.570,0.700,111011,000001,2.9,1.1
0.575,0.700,111011,000001,2.9,1.1
0.595,0.700,111011,000001,2.9,1.1
0.588,0.900,111011,000000,2.9,1.0
0.537,0.900,111011,000000,2.9,1.0
0.558,0.900,111011,000000,2.9,1.0
0.605,0.900,111011,000000,2.9,1.0
0.560,0.700,111011,000001,2.9,1.1
0.338,0.800,111010,000000,2.8,1.0
0.505,0.800,111010,000000,2.8,1.0
0.442,0.700,111011,000001,2.9,1.1
0.555,0.700,111011,000001,2.9,1.1
0.580,0.700,111011,000001,2.9,1.1
0.603,0.700,111011,000001,2.9,1.1
0.630,0.700,111011,000001,2.9,1.1
0.522,0.700,111011,000001,2.9,1.1
0.520,0.700,111011,000001,2.9,1.1
0.243,0.700,111011,000001,2.9,1.1
0.163,0.700,111011,000001,2.9,1.1
0.400,0.800,111010,000000,2.8,1.0
0.363,0.700,111011,000001,2.9,1.1
0.387,0.800,111010,000000,2.8,1.0
0.330,0.800,111010,000000,2.8,1.0
0.438,0.800,111010,000000,2.8,1.0
0.327,0.800,111010,000000,2.8,1.0
0.110,0.800,111010,000000,2.8,1.0
0.410,0.800,111010,000000,2.8,1.0
0.305,0.800,111010,000000,2.8,1.0
0.585,0.800,111010,000000,2.8,1.0
0.637,0.800,111010,000000,2.8,1.0
0.605,0.900,111011,000000,2.9,1.0
0.617,0.900,111011,000000,2.9,1.0
0.567,0.900,111011,000000,2.9,1.0
0.580,0.900,111011,000000,2.9,1.0
0.563,0.900,111011,000000,2.9,1.0
0.622,0.900,111011,000000,2.9,1.0
0.538,0.900,111011,000000,2.9,1.0
0.567,0.900,111011,000000,2.9,1.0
0.638,0.900,111011,000000,2.9,1.0
0.627,0.900,111011,000000,2.9,1.0
0.410,0.900,111011,000000,2.9,1.0
0.502,1.000,111100,000000,3.0,1.0
0.537,0.900,111011,000000,2.9,1.0
0.477,0.900,111011,000000,2.9,1.0
0.583,0.900,111011,000000,2.9,1.0
