T,Omega,Phi,Mu
0,0.034180350124770435,0.4366813788489812,-0.0726234915116154
0.01,0.03345412209468527,0.4370231823502289,-0.0726228030085164
0.02,0.0327279008071195,0.43735772357117575,-0.07262212875657702
0.03,0.03200168613549277,0.4376850025792469,-0.072621467162673
0.04,0.031275478030113,0.43800501944060183,-0.07262081053797731
0.05,0.030549276345945384,0.43831777422090296,-0.07262016841676143
0.060000000000000005,0.029823080937911663,0.43862326698436244,-0.0726195408033719
0.07,0.029096891660891088,0.43892149779374157,-0.07261892770205747
0.08,0.028370708369721394,0.43921246671035047,-0.0726183291169693
0.09,0.02764453091919979,0.4394961737940477,-0.07261774505216058
0.09999999999999999,0.02691835916408392,0.4397726191032397,-0.07261717551158686
0.10999999999999999,0.026192192959092864,0.4400418026948806,-0.07261662049910553
0.11999999999999998,0.025466032231158803,0.4403037246244715,-0.07261607279340619
0.12999999999999998,0.024739876849168636,0.44055838494678307,-0.07261553819901695
0.13999999999999999,0.024013726665349244,0.44080578371527473,-0.07261501838193905
0.15,0.02328758153189159,0.44104592098192824,-0.07261451334576537
0.16,0.022561441300951723,0.44127879679724713,-0.07261402309398696
0.17,0.021835305824651794,0.44150441121025663,-0.07261354762999292
0.18000000000000002,0.02110917495508109,0.44172276426850315,-0.07261308695707051
0.19000000000000003,0.020383048544297042,0.44193385601805396,-0.07261264107840479
0.20000000000000004,0.019656926444326255,0.44213768650349694,-0.07261220999707893
0.21000000000000005,0.018930808507165515,0.4423342557679402,-0.07261179371607387
0.22000000000000006,0.01820469458478283,0.4425235638530119,-0.0726113922382684
0.23000000000000007,0.017478584590495446,0.44270561079885973,-0.07261099942873844
0.24000000000000007,0.016752478374497747,0.4428803966447647,-0.07261062159976979
0.25000000000000006,0.01602637578630552,0.4430479214285097,-0.07261025881922269
0.26000000000000006,0.015300276675408961,0.4432081851863727,-0.07260991108965584
0.2700000000000001,0.014574180891273743,0.4433611879531268,-0.07260957841352186
0.2800000000000001,0.01384808828334207,0.44350692976203954,-0.07260926079316728
0.2900000000000001,0.013121998701033746,0.44364541064487295,-0.07260895823083244
0.3000000000000001,0.012395911993747233,0.4437766306318833,-0.07260867072865138
0.3100000000000001,0.011669828010860714,0.44390058975182073,-0.07260839828865201
0.3200000000000001,0.010943746601733154,0.44401728803192936,-0.07260814091275596
0.3300000000000001,0.010217667615705368,0.4441267254979467,-0.07260789860277846
0.34000000000000014,0.009491590902101084,0.4442289021741037,-0.07260767136042846
0.35000000000000014,0.008765516310227999,0.4443238180831247,-0.07260745918730852
0.36000000000000015,0.008039443689378851,0.444411473246227,-0.07260726208491478
0.37000000000000016,0.007313372888832482,0.44449186768312077,-0.07260708005463695
0.38000000000000017,0.006587303757854899,0.4445650014120091,-0.0726069130977583
0.3900000000000002,0.005861236145700342,0.44463087444958765,-0.07260676121545565
0.4000000000000002,0.005135169901612349,0.44468948681104464,-0.0726066244087993
0.4100000000000002,0.004409104874824819,0.44474083851006074,-0.07260650267875297
0.4200000000000002,0.003683040914563079,0.444784929558809,-0.07260639602617396
0.4300000000000002,0.0029569778700449497,0.44482175996795464,-0.07260630445181296
0.4400000000000002,0.0022309155904818084,0.4448513297466551,-0.0726062279563141
0.45000000000000023,0.001504853925668164,0.44487363890255993,-0.07260616648136442
0.46000000000000024,0.0007787927314709008,0.4448886874418166,-0.07260611941972632
